,,Event.CrossSection,Event.HT,nLeptons,nJets,nBjets,nNotbjets,Event_type,Bjet_group,pT_1,eta_1,phi_1,pT_2,eta_2,phi_2,pT_3,eta_3,phi_3,pT_4,eta_4,phi_4,pT_5,eta_5,phi_5,pT_6,eta_6,phi_6,m_12,m_34,m_56,dR_12,dR_34,dR_56,dEta_12,dEta_34,dEta_56,dPhi_12,dPhi_34,dPhi_56,pT_12,pT_34,pT_56,xWt1,HT_select,m_1234,dR_1234,dR_1256,dR_3456,m_min,m_mean,m_max,dEta_min,dEta_mean,dEta_max
ttHjj fullhad,0,0.00018305391,555.3678,2.0,6,5.0,1.0,2.0,5.0,130.9380645751953,-0.6291374564170837,2.5923449993133545,98.211181640625,-0.7129501700401306,-1.4263889789581299,53.9774284362793,-1.0452804565429688,-0.3857545256614685,34.4349479675293,-1.2512341737747192,0.7578609585762024,32.370361328125,1.2916417121887207,-3.1024904251098633,60.22441864013672,0.9929945468902588,1.967509388923645,172.088387262447,126.96513601675991,214.91460353583798,3.0070337763693593,2.6425047193056064,3.355327988338012,0.416143000125885,2.5428757667541504,1.7059447765350342,2.9780995845794678,0.7187586704916278,2.889286820088522,78.17569377512721,23.574337642204345,42.6323842994914,8.120314888636647,501.5587158203125,324.952644649658,1.5231844530946483,1.717049513442989,0.5428458075856467,49.524951064991235,138.39032091758494,214.91460353583798,0.08381271362304688,1.260867714881897,2.5428757667541504
ttHjj fullhad,1,0.0012813774,831.8975,2.0,7,4.0,3.0,2.0,4.0,115.71694946289062,-0.8085132837295532,-0.3794916272163391,80.56099700927734,0.27370667457580566,-1.2592108249664307,72.61962890625,-1.9143034219741821,1.069570779800415,43.77056884765625,-1.0725895166397095,-1.2062238454818726,205.21839904785156,-0.22708559036254883,-2.1305973529815674,161.2645263671875,2.0363848209381104,1.6630635261535645,138.6197925667031,114.61860607564144,614.721300180762,1.3946705363792975,2.426463049853727,3.3646738594793466,1.0822199583053589,0.8417139053344727,2.263470411300659,0.8797191977500916,2.275794506072998,2.4895244280444544,178.22434040902985,55.405752138300436,124.54673360145051,8.743595946961323,831.8975219726562,362.19418375577646,2.772317771528347,3.5108105647717203,4.602143650837327,63.31045029551462,291.2953446774916,768.851356222523,0.26407623291015625,1.6249172687530518,3.950688362121582
ttHjj fullhad,2,0.0018305391,1668.9413,2.0,8,4.0,4.0,2.0,4.0,369.1046447753906,-0.5030217170715332,-0.5926365852355957,141.32058715820312,0.3512270450592041,2.5260465145111084,69.5860595703125,0.34431225061416626,-2.9353408813476562,58.693458557128906,0.990740180015564,1.699601650238037,371.62786865234375,-1.0005815029144287,-1.1274540424346924,350.0210876464844,0.3759458661079407,1.7758053541183472,515.2268064269249,105.72269080059779,901.6524197292528,0.8545559052860067,1.7704726248117022,1.3970075990507846,0.8542487621307373,0.6464279294013977,1.3765273094177246,0.022909553843089014,1.6482427755938929,0.23833337624604312,227.8441378326343,87.4937368239728,88.43477738001383,1.768252157604903,1528.64599609375,731.6696363722615,3.440546843467551,2.8276990439035026,3.8262893082314493,84.79034356235242,359.9978376757555,901.6524197292528,0.006914794445037842,0.8400284051895142,1.9913216829299927
ttHjj fullhad,3,0.0081458995,1404.3485,2.0,6,4.0,2.0,2.0,4.0,319.96044921875,-0.3897099494934082,-1.177780032157898,161.1229705810547,-0.1456386297941208,-0.4864593744277954,75.58487701416016,-0.6602252721786499,3.134481430053711,51.23530960083008,0.9399217367172241,-0.96513831615448,490.94635009765625,0.17603325843811035,1.0961065292358398,247.96759033203125,1.4110077619552612,2.3740310668945312,183.7641455162488,158.14706646002546,621.9187742102868,2.462397949721771,1.8650165116375632,2.2357148455640794,0.24407131969928741,1.600147008895874,1.2349745035171509,2.4502719958596906,0.9580272118276874,1.8636681159311017,455.8164332713419,62.3183643576172,610.5807855508951,13.867912843568408,1404.3485107421875,477.4582918749922,1.5037540788055788,1.3474091420831065,2.506490185955806,117.63388217044579,369.89932032810594,806.198469469361,0.24407131969928741,0.977782130241394,2.071233034133911
ttHjj fullhad,4,0.008191663,1772.5848,2.0,7,4.0,3.0,2.0,4.0,514.2571411132812,0.6654003262519836,1.705510139465332,70.73947143554688,-0.43955478072166443,-0.8533724546432495,66.91569519042969,1.4411396980285645,0.36839166283607483,44.02194595336914,1.3649952411651611,1.244474172592163,494.37066650390625,-0.885330080986023,-2.0790865421295166,148.70571899414062,1.631701111793518,-2.0529229640960693,463.7092996243007,57.037892852317285,882.0942787984981,2.78725787523934,2.26678937157591,4.005164709502852,1.1049550771713257,0.07614445686340332,2.517031192779541,2.558882713317871,2.2655101140313825,3.115429075556346,456.8529344793857,100.93161120174909,643.0372382492714,9.550031222467137,1735.304443359375,611.9668059549341,1.221677180009677,1.0424043638108633,3.260948556939807,57.037892852317285,417.03620616987797,1312.8410673822984,0.07614445686340332,1.2617889642715454,2.517031192779541
ttHjj fullhad,5,0.011669687,710.194,2.0,7,5.0,2.0,2.0,5.0,105.70807647705078,0.5160791277885437,0.27331840991973877,93.47421264648438,1.1981464624404907,-2.484405994415283,68.10498809814453,-1.2771334648132324,1.2373265027999878,40.84458923339844,-0.2785399854183197,-2.051769971847534,36.57567596435547,-0.40990209579467773,1.5759226083755493,89.57478332519531,-2.426281690597534,-0.7406835556030273,207.55037191784137,120.98353744592366,173.65082705250146,2.840820142453838,1.0094286599994189,3.071229434119003,0.682067334651947,0.9985934495925903,2.0163795948028564,2.7577242851257324,0.1475037018484393,2.316606044769287,39.848289858061975,28.3468313879711,70.10777612080544,6.782175476487591,555.9669189453125,458.187312170432,4.575883818228327,5.680565059218759,1.8704949024521722,51.909320815121,194.6299290399203,563.3768059183799,0.13136211037635803,1.5755428075790405,3.6244282722473145
ttHjj fullhad,6,0.0121730855,774.6432,2.0,6,4.0,2.0,2.0,4.0,78.59599304199219,0.6592683792114258,2.5406441688537598,65.56160736083984,0.9393904805183411,-1.5184837579727173,65.03092956542969,1.3421776294708252,1.0648610591888428,44.61674499511719,-1.0423060655593872,-2.02518630027771,179.7929229736328,1.4989293813705444,-2.121809482574463,170.4360809326172,-1.2129133939743042,-0.24158108234405518,131.57695400574855,194.67270498899396,695.7396032317432,0.9593430828002442,3.903095661666055,2.9908411890040116,0.2801221013069153,2.384483814239502,2.7118427753448486,0.9175351540273944,3.0900473594665527,1.2613642533593854,64.90013637088916,20.602090231800045,206.66678464851105,14.07264948073752,711.9566040039062,348.5415352766668,2.5466281010260032,1.7737006650102851,2.501614116841029,97.59601672523571,233.83905172921337,695.7396032317432,0.15675175189971924,1.3995190858840942,2.7118427753448486
ttHjj fullhad,7,0.018168101,1031.5619,2.0,6,4.0,2.0,2.0,4.0,148.93878173828125,-0.8561732769012451,0.07454407215118408,144.97462463378906,-1.3990590572357178,-1.7378939390182495,96.70982360839844,-1.2713282108306885,0.7435342669487,77.00282287597656,-0.5245417952537537,1.132564663887024,364.9417419433594,1.1316213607788086,-2.2774457931518555,34.49625015258789,-0.6092712879180908,-0.9308701157569885,251.35185248094314,76.51276628827357,276.46596466912183,1.8919980218861703,2.852067482938031,2.500558526636037,0.5428857803344727,0.7467864155769348,1.7408926486968994,1.8124380111694336,2.752562256651469,1.7950169165902814,181.29103709753397,170.47924486270043,374.12665064250837,11.960057653322794,968.95751953125,443.2463941247364,1.5232309989733002,2.9857058291696705,3.7349132475194007,76.51276628827357,284.09722229635156,768.3932352230152,0.08472949266433716,1.0093774795532227,2.5306804180145264
ttHjj fullhad,8,0.026359763,955.9467,2.0,6,5.0,1.0,2.0,5.0,186.01072692871094,-1.128844976425171,0.32335788011550903,124.25578308105469,-0.8254462480545044,-2.0423641204833984,111.07060241699219,-0.16277991235256195,2.180098056793213,73.1346664428711,0.38881805539131165,2.8615777492523193,32.03415298461914,1.8645738363265991,1.4842276573181152,135.43251037597656,0.015747981145977974,-1.5233074426651,218.02684152582245,102.70770763665693,321.0944743294293,2.1646492720163137,2.0186501650055617,2.1726173549643275,0.6626663208007812,1.4757558107376099,1.1445930004119873,2.060723129902975,1.377350091934204,1.846665382385254,121.60423711250054,85.29735381480123,198.03600266379883,11.501354786650742,852.2710571289062,428.77948721426355,2.3038191340910585,0.5711406742243992,3.6726347559224526,83.07458258661379,216.53363280980295,339.88062419664186,0.17852789163589478,1.2525609731674194,2.9934186935424805
ttHjj fullhad,9,0.026405526,893.3379,2.0,7,4.0,3.0,2.0,4.0,177.52969360351562,-0.37143564224243164,-1.7078872919082642,137.12281799316406,-1.6059904098510742,-2.664415121078491,107.47563171386719,-0.7775607109069824,0.6594386696815491,44.61185836791992,-2.0408668518066406,0.14775913953781128,180.15817260742188,0.5073567032814026,-1.765280842781067,138.60911560058594,1.221620798110962,3.062760591506958,265.98999149064315,105.71316610102359,248.58769960120011,1.561752529116677,1.3629960921451327,1.6209924555787487,1.2345547676086426,1.2633061408996582,0.7142640948295593,0.956527829170227,0.5116795301437378,1.4551437536822718,279.9653338049161,147.99468834603198,239.65105627642924,7.698267545369481,893.337890625,547.245323693183,0.5440499402465324,2.2345943693455927,3.7603034205448114,105.71316610102359,301.0758785629484,543.3224677574142,0.4061250686645508,1.5372403860092163,3.2624876499176025
ttHjj fullhad,10,0.028602174,793.0139,2.0,8,4.0,4.0,2.0,4.0,129.46315002441406,-1.4723769426345825,-2.536637783050537,46.46608352661133,-2.2555644512176514,1.4438496828079224,36.77886962890625,-0.9098383784294128,0.5102651119232178,30.6656436920166,-1.333668828010559,-1.8367406129837036,186.8574981689453,2.035477638244629,-1.772318959236145,138.23605346679688,1.4922902584075928,0.9941412806510925,163.19936042584706,64.90845897271207,334.8929401603305,2.4322418816868305,2.3849672287701993,0.6601340031719333,0.7831875085830688,0.42383044958114624,0.5431873798370361,2.3026979605304163,2.347005844116211,0.37513247330720034,104.30469384570976,26.697805918860958,77.17893268046662,4.828115732066693,766.210205078125,258.17699754830164,0.7738028525952375,5.65286419169968,5.2414955285009786,62.03325964795476,335.83429313219096,882.8631132070742,0.13870811462402344,2.0515360832214355,4.291042327880859
ttHjj fullhad,11,0.03116493,966.7075,2.0,7,4.0,3.0,2.0,4.0,226.0714874267578,0.4890154004096985,2.809760570526123,118.46853637695312,0.6114004254341125,1.757462501525879,43.48464584350586,0.48244357109069824,0.4241611361503601,34.91415023803711,-1.6223641633987427,0.27390265464782715,289.33258056640625,-0.3202769160270691,0.08611774444580078,92.81742095947266,-1.0470727682113647,-1.109480857849121,186.8464897264405,99.16896586516975,249.4582242975566,1.0593910139187839,2.1101643803872965,1.399174123746529,0.12238502502441406,2.1048078536987305,0.7267958521842957,1.0522980690002441,0.15025848150253296,1.1955986022949219,302.80112115369576,78.18029010969576,334.68023979138957,2.572698081018341,966.70751953125,455.3341226880145,2.4942961242644692,2.8941859883304457,0.5518477354001418,82.68182573787445,228.76453977745393,566.2066552617417,0.006571829319000244,1.1053205728530884,2.2337646484375
ttHjj fullhad,12,0.032537833,881.31537,2.0,8,4.0,4.0,2.0,4.0,115.56266784667969,-0.757266640663147,0.4846878945827484,52.094261169433594,0.581554114818573,-2.523733139038086,46.415611267089844,0.6577494740486145,1.592483401298523,36.314125061035156,-1.3129189014434814,0.9534856677055359,179.95028686523438,1.8299038410186768,-2.400139093399048,157.67758178710938,1.5494707822799683,0.4021938145160675,192.4151738654974,98.76935134214231,341.15269269595325,3.2928767716532352,2.0716784776551735,0.4401589436672308,1.3388206958770752,1.9706683158874512,0.2804330587387085,3.008420944213867,0.6389977335929871,0.33925977547700015,64.30276915819279,78.6070828653846,61.07905634421465,5.8075428922007335,758.1495361328125,303.57397789490466,2.262930487206194,4.607178179525439,4.6144166278071514,51.992058022665645,225.37880304665006,566.7643116902804,0.0761953592300415,1.5140347480773926,3.142822742462158
ttHjj fullhad,13,0.033910736,887.4179,2.0,6,4.0,2.0,2.0,4.0,153.6392059326172,-0.8050400018692017,2.546379327774048,128.28883361816406,0.04153265431523323,-0.9659186005592346,115.7252197265625,0.762151837348938,1.378581166267395,87.23463439941406,0.16600219905376434,0.0599324069917202,259.9684143066406,0.5659012794494629,-1.4001414775848389,31.99117660522461,0.7491245269775391,-2.0763614177703857,306.0774512124098,138.96063536615947,95.37574002067336,0.9241794128809718,1.447145145167749,0.70060271619462,0.8465726375579834,0.5961496233940125,0.18322324752807617,0.3707052151388446,1.3186488151550293,0.6762199401855469,57.62279685723697,161.36733591685444,285.6223373598542,1.9062680151411548,887.4178466796875,567.0960867528312,3.4580003889050923,2.8250674238986,2.29839980047251,85.67760807339265,206.77038973885433,482.0807372825952,0.013027310371398926,0.6905755400657654,1.5671918392181396
ttHjj fullhad,14,0.03670231,1128.5211,2.0,7,4.0,3.0,2.0,4.0,294.29791259765625,1.230320692062378,1.349762201309204,267.43048095703125,0.44574660062789917,-2.1623761653900146,34.64732360839844,0.8943347334861755,-1.4106677770614624,34.4370231628418,-0.14563877880573273,2.264719247817993,165.88681030273438,2.310253620147705,-0.8840348124504089,81.60499572753906,-1.8981289863586426,1.4417928457260132,609.6904696592309,76.97956152256508,964.8765384143496,0.8676754176845225,2.807518010305585,4.286718650405425,0.7845740914344788,1.039973497390747,4.208382606506348,0.37054571310942563,2.60779840150942,0.8157650550180158,106.79509102468565,18.22142041465627,124.99369086811176,4.112325132141035,1063.8509521484375,696.1784061623631,2.333379037264213,2.8804158310627748,1.2420977649947407,76.97956152256508,355.4818194076089,964.8765384143496,0.3359859585762024,1.7078920602798462,4.208382606506348
ttHjj fullhad,15,0.04182782,733.49146,2.0,7,4.0,3.0,2.0,4.0,65.92450714111328,-0.3623983561992645,2.6353759765625,57.630584716796875,0.8138174414634705,0.9015200138092041,41.73580551147461,0.8284335136413574,-1.5135053396224976,32.50859832763672,2.3551721572875977,-0.6577622294425964,113.41667938232422,1.8535175323486328,1.572340488433838,63.00348663330078,1.5020793676376343,0.4715419113636017,123.89307807475704,69.84645306702234,98.20016936307148,2.0951706451119008,2.7488250255536406,1.1555372588142716,1.1762157678604126,1.5267386436462402,0.35143816471099854,1.733855962753296,2.285849543409892,1.1007986068725586,80.21093660033033,67.65975943266113,152.66002036399985,2.0081462054337775,679.2020263671875,297.39833783946233,3.3462845425252303,1.669946158546414,0.804536179536375,56.243259179933474,121.59429715073807,251.728971625312,0.014616072177886963,1.158706545829773,2.7175705432891846
ttHjj fullhad,16,0.047319435,872.68463,2.0,7,4.0,3.0,2.0,4.0,149.99343872070312,-0.2636977732181549,-2.4436533451080322,135.93333435058594,-0.6867955327033997,1.8316612243652344,64.17436981201172,-0.6840922832489014,-0.6978484392166138,50.85884094238281,2.453139543533325,-1.2326582670211792,162.4268798828125,-0.8023812770843506,0.15566444396972656,51.53403854370117,1.649893879890442,1.2785370349884033,257.0679068418862,264.42196213555576,302.9566187059145,2.0519643200714257,3.182490390699035,3.1763004771606305,0.42309775948524475,3.1372318267822266,2.452275276184082,2.0078709761248987,0.5348098278045654,2.0187200625711164,153.99629810405867,111.00068602599859,190.49594611361022,7.055224787437738,736.4580688476562,693.9735321542803,2.4593932471159308,2.616998678602499,2.424840155287301,89.75139530881933,256.0075592934265,461.4507733865836,0.002703249454498291,1.5805376768112183,3.255520820617676
ttHjj fullhad,17,0.047548253,758.07745,2.0,9,5.0,4.0,2.0,5.0,79.7187728881836,1.234845519065857,-1.1903671026229858,65.99077606201172,2.2833809852600098,0.09330359101295471,64.24806213378906,-0.10900135338306427,-1.8697508573532104,40.602294921875,0.9648372530937195,-2.3179543018341064,37.24585723876953,1.399400234222412,0.23593831062316895,111.08915710449219,0.06197300925850868,2.136477470397949,121.65450888155829,118.42043250784022,124.80360042454227,2.1333777780521044,1.8298556672144954,2.0394862488648635,1.0485354661941528,1.50840163230896,0.9028642177581787,1.857921989756175,1.0359036048227033,1.8287537733661097,117.00211010267213,55.45661168486264,108.11128762301578,0.7965482737190703,639.2108764648438,316.48960979761756,1.2380826545857913,1.5798493358951173,2.573805059820024,49.381781269427876,130.4272665330638,274.7952193988743,0.16455471515655518,1.08294677734375,2.3923823833465576
ttHjj fullhad,18,0.05171273,1423.1548,2.0,8,5.0,3.0,2.0,5.0,264.3418273925781,-0.07444342970848083,-0.3806678354740143,250.8687286376953,-1.063319444656372,-2.4098548889160156,61.87164306640625,-0.43919211626052856,0.4604193866252899,46.69526672363281,-0.05016941949725151,2.3889551162719727,38.811153411865234,-1.3117183446884155,3.0912070274353027,437.6639099121094,-0.13861604034900665,1.4922527074813843,516.8875047880858,105.48802875777271,127.24543124168069,2.257315983420872,1.0110508448252722,0.9010538352462404,0.9888759851455688,0.872526228427887,0.08844661712646484,2.029186964035034,0.5108050425821027,0.8967024087905884,272.25380916821047,33.83540443293278,468.2339883368812,4.131451200693596,1396.3831787109375,651.6717979675643,1.0191944776189132,0.9371887356362769,3.0864059526134713,65.70318251944825,247.50040679456535,696.7580430204783,0.024274010211229324,0.6383299231529236,1.2615488767623901
ttHjj fullhad,19,0.054046668,952.2985,2.0,8,4.0,4.0,2.0,4.0,128.9596710205078,-0.5132097601890564,0.7136498689651489,111.61658477783203,-0.3982711434364319,-2.499237537384033,51.80044937133789,-2.0609238147735596,-0.6440268754959106,43.357879638671875,-1.0769977569580078,-2.079442024230957,100.07575225830078,0.6398613452911377,1.4759881496429443,77.24575805664062,-0.29886728525161743,-0.5946033596992493,242.97572280025116,80.78119710596471,175.59829584439206,0.1352546132080147,1.7402663981317652,2.273446809038408,0.11493861675262451,0.9839260578155518,0.9387286305427551,0.07129463355009946,1.4354151487350464,2.070591449737549,19.336899375358787,71.89893954761112,92.58786634280142,3.5743161202619826,803.7218017578125,398.4120124590047,2.472392273197643,2.9896124459505047,2.731908111336714,63.30646513033169,163.2112297274998,289.53713582167575,0.09940385818481445,1.063550353050232,2.7007851600646973
ttHjj fullhad,20,0.057158586,1079.7529,2.0,8,4.0,4.0,2.0,4.0,231.63011169433594,-0.09382952004671097,2.8820250034332275,189.62518310546875,-0.8413248062133789,0.7928098440170288,102.28304290771484,0.16531723737716675,-2.1524503231048584,32.757080078125,-0.6101545691490173,-1.7010877132415771,146.729248046875,2.0571913719177246,2.1382126808166504,77.02742767333984,1.4612065553665161,-0.46512851119041443,399.23908429317265,58.004485942453826,219.84965884207438,2.218911826644338,2.799766813662476,2.6706895735084357,0.7474952936172485,0.7754718065261841,0.5959848165512085,2.0892152786254883,2.690230043726512,2.6033411026000977,214.6671283615804,132.53209161520644,89.74662337911334,3.388663578750007,1079.7529296875,582.6352152822092,1.2136991264694017,3.6311590829233005,3.801492834211278,58.004485942453826,290.3209136814061,704.2360616808993,0.23117023706436157,1.3977208137512207,2.8985161781311035
